cherry brandy,$12.50
grapefruit zest,$3.99
coconut rum,$4.49
toppings for the cheese,$1.69
rapeseed oil or extra virgin olive oil,$8.99
smoked gammon,$6.29
ginger nut biscuits  crushed,$2.99
lean lamb leg meat,$29.99
Turkish chilli flakes or 1teaspoon chilli flakes,$1.39
pomegranate molasses  plus extra for drizzling,$3.99
dukkah spice mix,$0.85
olive oil spray,$2.29
rocket salad,$2.99
Turkish chilli flakes or 1 teaspoon chilli flakes,$2.49
sweet marsala  or sweet cream sherry,$2.79
apricot cake glaze,$3.29
gold cake spray,$2.99
sugar balls,$2.39
tubs cheese sauce,$2.39
packs prawns,$17.99
coconut rice,$2.99
brioche bun,$2.59
packs tofu,$6.99
tandoori curry paste,$3.19
can plum tomatoes,$2.29
mirin or dry sherry,$2.79
pak choi  about 250g ,$11.38
chopped chorizo,$4.29 / per lb
ground linseeds,$3.29
vegetarian cheese,$3.79
parsnip black pepper,$0.59
couscous and green salad,$4.99
baby beetroots,$2.49
fun size bag of mini Mars Bars,$12.49
navy and silver lustre dust,$119.99
edible metallic pearlescent white paint,$1.99
silver pearl balls,$14.99
cake scraper,$9.99
chakki atta,$15.99
fresh ginger,$3.99
asafoetida,$17.99
shortbreads finger biscuits,$2.99
leftover paella,$17.99
litre sunflower oil,$6.99
marshmallow fluff,$1.69
bag tortilla chips,$4.49
malt extract vanilla,$10.59
black fondant,$2.39
bright orange fondant,$1.39
wooden dowel,$2.99
white chocolate Mikado sticks,$5.69
x 20cm cake tins,$21.00
16cm hemisphere cake tin,$18.99
23cm cake board,$12.99
16cm cake board,$34.99
squeezy bottle,$4.99
yellow or orange peppers,$4.99
x red peppers,$3.69
maple syrup and Greek yogurt,$1.99
goma,$15.00
dried shiitake mushrooms,$1.79
leftover turkey gravy chicken stock,$1.69
ramen noodles egg  rice,$3.49
leftover turkey meat,$3.69
sesame oil coriander,$6.29
1kg Jerusalem artichokes,$4.39
stuffing balls,$12.99
1kg Jerusalem artichoke,$4.39
sea salt flakes and cayenne pepper,$2.39
sriracha or chilli sauce,$3.59
squeezy bottles,$4.99
leftover gravy,$4.99
bag organic rye flour,$10.99
wooden spoon,$5.19
carrots  peeled but left whole,$1.59
dill plant,$22.49
voucher salmon,$3.49
pestle and mortar,$15.19
coffee filter paper,$1.79
martini glasses,$14.99
shot measure,$1.99
tall glass,$0.99
cocktail stirrer,$4.99
cocktail strainer,$19.99
green salad with a sharp dressing  to serve,$2.49
rye bread and chicory leaves,$3.49
parsley and chives,$5.89
capers salt,$33.49
red apple,$3.39
baby parsnips,$0.99
black cherries,$2.59
of whisky,$31.49
jam pan,$19.99
and labels  makes about 1kg jam ,$2.89
chestnut mushroom mushrooms,$2.29
shredded beef or vegetable suet,$4.59
plum cherry tomatoes,$4.99
sliced kale,$3.49
cheese sauce,$2.89
organic chicken or duck livers,$3.99
turkey escalope,$2.49 / per lb
cooked beetroot  cut into wedges,$4.79
braising beef,$2.99 / per lb
ginger nuts biscuits,$1.19
bitter ale,$14.99
French breakfast radishes,$2.99
beef or veal flank,$8.99 / per lb
corn tortilla chips corn,$3.69
wholemeal soda bread,$1.19
clementine juice,$3.14
chocolate bitters chocolate,$3.69
Bavarian smoked cheese,$3.99
seeds from 1 pomegranate,$3.79
orange twist,$39.99
thumb sized piece of fresh root ginger,$5.99
edible gold lustre spray,$18.99
few chocolate buttons,$5.69
coffee grounds,$9.49
spiced rum,$5.29
green tea,$2.69
natural bio yogurt cinnamon,$1.39
x 140 gram skinless cod loin or pollock fillets,$7.99
English mustard powder,$14.79
bag mixed leaf salad  choose one with curly endive and radicchio ,$2.99
nests whole wheat noodles,$2.19
sprouts,$1.79
x wild salmon fillets,$7.99
head of spring greens,$49.49
milk rolls,$1.39
rashers of smoked back bacon  grilled,$11.39
red onion chutney,$1.59
icing sugar and syrup,$3.99
chapatis breads,$8.39
green tea tea bag,$4.39
a few drops rosewater,$3.79
mead,$2.99
food colouring pastes  red  yellow  pink  green  purple  blue ,$3.79
green tea ice cream,$4.99
dark chocolate sauce,$2.69
Gin,$3.19
Fleur de Sel sea salt,$3.99
arbequina,$20.99
aquafaba chickpeas,$4.29
coloured sugar,$5.99
whole ricotta,$3.59
packs mint  leaves picked,$1.99
garlic flatbreads  to serve  optional ,$2.69
smoked pancetta,$5.99
puy lentils or green lentils,$2.59
tortilla chips avocado cream coriander,$3.99
sweet potatoes  ends trimmed and spiralized into thin noodles,$5.99
sriracha  for drizzling,$3.59
sprinkles rose petals  chopped pistachios  desiccated coconut and orange zest,$6.59
baking trays,$9.99
red and 1 green chilli,$5.99
cooked beetroot  not pickled ,$1.99
spring onions oil,$6.99
cooked rice and Sichuan pepper,$3.99
white parts of one bunch spring onions,$1.79
whole red chilli,$1.29
oyster sauce or soy sauce,$2.49
Chinese black rice vinegar  cider or white wine vinegar,$1.99
eggs sesame oil,$4.79
coconut ice cream and toasted black sesame seeds,$4.99
kale leaves,$2.59
beef gravy,$1.99
pine nuts hazelnuts,$4.39
cranberries figs,$12.99
microwave basmati rice,$1.59
greens beans,$2.09
salata,$41.49
dark chocolate chips chocolate,$4.99
dulce de leche caramel,$2.99
cavolo nero or spring greens  stalks removed  shredded,$4.99
unsalted cashews,$11.49
rapeseed oil  vegetable oil or sunflower oil,$1.39
vegetable  sunflower rapeseed oil,$6.99
unhomogenised coconut milk,$2.19
buckwheat noodles,$3.99
lime and finely chopped red chilli,$0.59
roasted cashews,$6.99
chickpeas beans,$1.29
fish stock  vegetable  chicken or dashi stock,$3.99
bonito flakes,$22.99
seaweed seasoning,$4.29
scotch bonnet chilli,$3.09
plantains,$0.69
carrots  diagonally sliced,$1.29
German garlic sausages,$6.19
dates apricots,$5.99
chilli powder red chilli  chopped  optional ,$4.29
wrap tortilla,$4.29
garlic and herb soft cheese,$4.99
organic potatoes,$5.29
organic butter,$6.49
organic carrots,$1.29
organic broccoli,$4.12
organic sweetcorn,$1.29
ox cheeks,$17.99
barley,$0.99
button onions or shallots,$1.29
olive oil  or vegetable oil,$8.39
milk curry powder,$2.59
apple chutney  BBQ sauce,$2.99
mixed green salad,$2.99
grilled meats,$8.99 / per lb
golden raisins,$4.39
nonpareilles capers,$2.99
fine bulgur wheat,$3.59
chicken goujons,$4.99 / per lb
x 140 gram packs katsu curry sauce,$0.99
red onion  ends trimmed  peeled and spiralized into flat noodles,$0.69
ripe avocado  thinly sliced,$1.89
courgettes  ends trimmed and spiralized into thin noodles,$1.49
gram flour,$16.99
Reblochon,
green salad and cornichons,$4.99
dukkah,$18.89
brisket,$2.99 / per lb
chipotle chilli,$3.99
beef dripping oil,$3.99
sake,$4.99
white noodles  such as udon ,$5.49
seaweed flakes,$3.29
olive oil  plus an extra drizzle,$13.59 - $16.99
lean turkey breast,$4.59
green vegetables beans,$1.79
lime marmalade,$3.59
a mixture of 4 orange  yellow and red peppers,$1.69
nests thin vermicelli rice noodles,$3.89
red pepper or yellow pepper,$1.49
pickled chillis,$1.99
rectangular sheets  about 170g  filo pastry,$4.99
herbs basil,$2.99
chopped tomatoes,$0.65
very ripe avocados  halved  stoned  peeled and sliced,$2.39
pistachio paste,$3.39
thyme sprigs  plus extra picked thyme leaves,$1.69
red mullet,$16.99
vegetable bouillon stock,$0.85
x sardines,$1.99
butternut,$3.29
chilli peppers,$2.99
frozen green beans,$2.39
small cauliflower florets,$2.79
66g pack butterscotch pudding whip,$2.99
pork meatballs,$9.99
frozen spinach,$12.99
ghee butter,$8.49
vegetable suet,$4.49
sunflower oil or butter for greasing,$6.99
black treacle or golden syrup,$2.19
tea towel  baking cloth,$5.99
bergamot,$7.99
medium rock oysters,$99.99
fine salt,$0.99
water water,$17.99
crickets,$25.00 - $100.00
salted tortilla chips,$1.99
hunza apricots,$5.99
live natural yogurt,$2.59
pork skin pork belly,$3.99
stale white bread,$2.69
2kg piece boneless and skinless pork belly,$2.99 / per lb
pack of room temperature  ripe vine cherry tomatoes,$2.29
rice paper wrappers,$1.89
courgette  ends trimmed and spiralized into thin noodles,$1.49
Earl Grey tea bags,$7.79
sweet potato wedges lime,$5.99
matcha tea powder,$9.99
black cherry jam,$7.59
really soft  fresh  sliced white bread,$4.79
salted butter and tomato ketchup,$2.99
tarragon vinegar,$0.99
baby gem lettuces  leaves separated,$2.79
carrot  peeled  ends trimmed and spiralized into thin noodles,$0.95
choi,$5.79
turnip noodles,$0.95
bag of rocket salad,$3.49
tomatoes tomato oil,$5.89
large courgette  halved widthways,$2.79
mixed olives,$6.49
gochujang sauce,$4.49
carrots  ends trimmed and spiralized into thin noodles,$0.95
mooli  Daikon radish ,$3.99
x 150 gram packs fresh udon noodles,$4.69
red peppers orange and yellow   cut into chunks,$2.69
red pepper sauce,$2.59
muslin,$33.49 - $34.99
vegetable oil oil oil,$3.99
basmati rice yogurt,$1.39
cardamom pod,$3.29
green green chillies,$3.60
small cooked whole beetroot  chopped,$3.19
frozen berries,$12.99
red  yellow  green and blue gel food colouring,$4.39
whipped cream or ice cream,$17.49
red gel food colouring,$4.39
white part of the leek,$29.95
mint coriander leaves,$3.99
turkey breast mince,$1.49 / per lb
oat flakes  pinhead oatmeal or sesame seeds,$3.79
rolled beef brisket,$4.99 / per lb
stout beer,$9.99
unsmoked ham hocks,$1.99 / per lb
cavolo nero or kale,$2.99
whey,$19.99
decent gin,$19.69
medium mugfuls of cider,$10.99
mugful of a good smoky barbecue sauce,$2.99
white rolls,$2.99
x 250 gram packs fresh mixed bean salad,$2.99
raw jumbo king prawns,$6.49
spring onions and cooked,$0.95
short pasta  such as orecchiette  farfalle or conchiglie,$2.19
yogurt coriander leaves and nigella seeds,$4.89
foraged young wild nettles,$12.39
pouch brown basmati rice,$3.29
garam masala coriander,$5.79
yogurt coriander leaves and mango chutney,$6.29
x 150 gram pieces hot smoked salmon,$4.99
breakfast muffins,$2.99
cabernet sauvignon,$24.99
wild mushrooms oyster mushroom,$1.79
chipotle hot sauce,$4.39
vegan coconut yogurt,$5.49
bavette,$14.99
sriracha  to taste,$2.19
crispy fried shallots and lime wedges,$1.69
white vinegar,$2.99
selection of sweets and sprinkles,$12.99
sauerkraut,$0.99
hispi cabbage,$39.99
live bio yogurt,$3.70
food colouring gel,$4.39
coloured sprinkles,$2.39
326g can of sweetcorn in water,$1.29
loaf of sliced white bread,$4.79
salted anchovies,$2.29
morels,$34.98
dry sherry or white wine,$2.79
sorrel leaves,$139.99 - $159.99
sea trout fillets,$8.84
whole cooked crab  about 1kg ,$18.31
red chillies  2 very finely chopped  1 sliced,$1.99
rice bad buns,$3.99
pitted Kalamata olives,$6.49
Jerusalem artichokes or 4 leeks,$1.79
really generous grating of fresh nutmeg,$21.99
rice pops cereal,$3.53
brown bread mix,$2.19
currants or other dried fruit,$3.99
mixed white and brown crabmeat,$6.99
bag mixed radishes,$3.69
hot red chilli powder,$3.29
Easter treats,$5.29
